,TRACTCE,Disadvantage,Medfaminc,SNAP%,PovertyRate,mrFEI,mrFEI_food_desert_swamp,mrFEI_food_desert,TargetLabel,mrFEI_food_desert_swamp_cluster_desert
0,057800,0.253814667,87500.0,0.276615113,21.6,0.2916666666666667,0,0,1,1
1,037000,0.21440649,87813.0,0.178423241,15.6,0.2857142857142857,0,0,0,0
2,019900,0.079001069,161250.0,0.049124788,12.4,0.375,0,0,0,0
3,040000,0.199685946,52750.0,0.223123729,13.4,0.2142857142857142,0,0,0,0
4,098200,0.521627605,24956.0,0.475323141,46.8,0.4,0,0,1,1
5,082000,0.281493217,44265.0,0.315959424,26.8,0.4285714285714285,0,0,1,1
6,079801,0.114878468,103608.0,0.09786354,8.8,0.25,0,0,0,0
7,019800,0.176359043,65833.0,0.191693291,13.9,0.375,0,0,0,0
8,036900,0.378740996,43081.0,0.332660466,31.2,0.3793103448275862,0,0,1,1
9,052900,0.504637659,27070.0,0.45847553,42.9,0.6153846153846154,0,0,1,1
10,015500,0.030735711,226125.0,0.029224904,5.1,0.0714285714285714,1,0,0,1
11,018700,0.090816565,165192.0,0.07751938,21.3,0.25,0,0,0,0
12,044600,0.223550186,59886.0,0.218800649,23.6,0.6666666666666666,0,0,1,1
13,050500,0.363037199,41149.0,0.359239131,28.6,0.3333333333333333,0,0,1,1
14,05100,0.019915808,162841.0,0.005535055,5.2,0.0555555555555555,1,0,0,1
15,045800,0.102080859,102250.0,0.118503116,10.3,0.0,1,1,0,1
16,046202,0.183496878,101250.0,0.183566436,25.2,0.0,1,1,0,1
17,057400,0.15960665,78224.0,0.161478594,8.6,0.0769230769230769,1,0,0,1
18,0900,0.029612385,250001.0,0.045096323,6.4,0.238095238095238,0,0,0,0
19,098400,0.048070937,98548.0,0.033285093,6.0,0.8,0,0,0,0
20,098600,0.123781033,86339.0,0.100204498,10.0,0.5,0,0,0,0
21,0100600,0.0877776,101218.0,0.018378379,13.8,0.0,1,1,0,1
22,029100,0.133453637,85474.0,0.173712522,8.6,0.25,0,0,0,0
23,040300,0.339208037,53375.0,0.3356269,29.7,0.5625,0,0,1,1
24,04100,0.072927736,250001.0,0.081554875,7.2,0.4666666666666667,0,0,0,0
25,039200,0.190357164,62096.0,0.238961041,20.9,0.3809523809523809,0,0,0,0
26,072600,0.072741248,84102.0,0.083076924,1.5,0.0,1,1,0,1
27,021000,0.332503825,38643.0,0.184230477,24.6,0.4545454545454545,0,0,1,1
28,015200,0.170357823,89350.0,0.131524011,4.9,0.0,1,1,0,1
29,020200,0.14846763,109615.0,0.087947883,8.5,0.0,1,1,0,1
30,020600,0.170273319,107083.0,0.135922328,7.5,0.2,0,0,0,0
31,0109800,0.237444609,50641.0,0.130898029,26.2,0.6666666666666666,0,0,0,0
32,038500,0.1370188,105993.0,0.200000003,10.6,0.25,0,0,0,0
33,047700,0.083727725,156897.0,0.035190616,7.9,0.5714285714285714,0,0,0,0
34,048000,0.422759622,46071.0,0.443434358,33.6,0.5,0,0,1,1
35,036502,0.290605754,64241.0,0.268389672,35.0,0.3333333333333333,0,0,1,1
36,018000,0.170630231,81875.0,0.194366202,9.7,0.3,0,0,0,0
37,018300,0.064754508,158293.0,0.020654045,9.9,0.2058823529411764,0,0,0,0
38,074200,0.187793359,64545.0,0.217975199,10.2,0.1428571428571428,0,0,0,0
