,STATEFP_x,COUNTYFP_x,TRACTCE,CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,tract_fips10_x,year_x,population_x,aland10_x,count_445110,count_sales_445110,count_emp_445110,popden_445110,popden_sales_445110,popden_emp_445110,aden_445110,aden_sales_445110,aden_emp_445110,count_4452,count_sales_4452,count_emp_4452,popden_4452,popden_sales_4452,popden_emp_4452,aden_4452,aden_sales_4452,aden_emp_4452,count_452311,count_sales_452311,count_emp_452311,popden_452311,popden_sales_452311,popden_emp_452311,aden_452311,aden_sales_452311,aden_emp_452311,State_Code_x,County_Code_x,TRACT_FIPS20,ALAND20,TOTPOP20,POPDEN16_20,PHISPANIC16_20,PNHWHITE16_20,PNHBLACK16_20,PFBORN16_20,PLIMENG16_20,PED1_16_20,PED2_16_20,PED3_16_20,PFAMINCLT40K16_20,PFAMINCGE40LT75K16_20,PFAMINCGE75LT125K16_20,PFAMINCGE125K16_20,PNVMAR16_20,P18YR_16_20,P18_29_16_20,P30_39_16_20,P40_49_16_20,P50_69_16_20,PGE70_16_20,PUNEMP16_20,PPROF16_20,PPOV16_20,PPUBAS16_20,PFHFAM16_20,PSNGPNT16_20,POWNOC16_20,AFFLUENCE16_20,DISADVANTAGE16_20,HISPAN_FORBORN_LIMENG16_20,MEDFAMINC16_20,MEDFAMINC_NHWHITE16_20,MEDFAMINC_BLACK16_20,MEDFAMINC_HISPANIC16_20,RATIO_MEDFAMINC_NHWTOB16_20,RATIO_MEDFAMINC_NHWTOHISP16_20,State_Code_y,County_Code_y,tract_fips10_y,year_y,population_y,aland10_y,count_7225,count_sales_7225,count_emp_7225,popden_7225,popden_sales_7225,popden_emp_7225,aden_7225,aden_sales_7225,aden_emp_7225,count_722511,count_sales_722511,count_emp_722511,popden_722511,popden_sales_722511,popden_emp_722511,aden_722511,aden_sales_722511,aden_emp_722511,count_722513,count_sales_722513,count_emp_722513,popden_722513,popden_sales_722513,popden_emp_722513,aden_722513,aden_sales_722513,aden_emp_722513,count_722515,count_sales_722515,count_emp_722515,popden_722515,popden_sales_722515,popden_emp_722515,aden_722515,aden_sales_722515,aden_emp_722515,count_722410,count_sales_722410,count_emp_722410,popden_722410,popden_sales_722410,popden_emp_722410,aden_722410,aden_sales_722410,aden_emp_722410,State_Code_x.1,County_Code_x.1,tract_fips10,year,population,aland10,count_4453,count_sales_4453,count_emp_4453,popden_4453,popden_sales_4453,popden_emp_4453,aden_4453,aden_sales_4453,aden_emp_4453,count_453991,count_sales_453991,count_emp_453991,popden_453991,popden_sales_453991,popden_emp_453991,aden_453991,aden_sales_453991,aden_emp_453991,count_445120,count_sales_445120,count_emp_445120,popden_445120,popden_sales_445120,popden_emp_445120,aden_445120,aden_sales_445120,aden_emp_445120,count_447110,count_sales_447110,count_emp_447110,popden_447110,popden_sales_447110,popden_emp_447110,aden_447110,aden_sales_447110,aden_emp_447110,State_Code_y.1,County_Code_y.1,mrFEI,STATEFP_y,COUNTYFP_y,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,SNAP,TargetLabel,mrFEI_food_desert_swamp,mrFEI_food_desert,mrFEI_food_desert_swamp_cluster_desert
0,36,47,057800,36047057800,New York,Kings County,1,3176,1077,0,0,0.0,0,0,0,0,0,1,21.6,66458.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373,708,418,1951,33,861,0,6,325,390,512,278,36047057800,2017,3478.0,0.0664995,7,7,7,2.012651,2.012651,2.012651,105.2639,105.2639,105.2639,2,2,2,0.5750431,0.5750431,0.5750431,30.0754,30.0754,30.0754,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047057800.0,0.066499531,2827.0,42511.57813,0.128050938,0.492041022,0.011673152,0.539794862,0.164219469,0.174771309,0.551757336,0.273471355,0.244985685,0.187679082,0.21919769,0.348137528,0.334044367,0.175097272,0.188539088,0.199858502,0.079589672,0.255394399,0.101521045,0.050906554,0.275532693,0.23984319,0.276615113,0.031518623,0.031518623,0.366696984,0.299047202,0.253814667,0.277355075,87500,95789, ,174940, ,0.54755342,36.0,47.0,36047057800,2017,3478.0,0.0664995,20,20,20,5.750431,5.750431,5.750431,300.754,300.754,300.754,15,15,15,4.312823,4.312823,4.312823,225.5655,225.5655,225.5655,2,2,2,0.5750431,0.5750431,0.5750431,30.0754,30.0754,30.0754,1,1,1,0.2875216,0.2875216,0.2875216,15.0377,15.0377,15.0377,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047057800,2017,3478.0,0.0664995,1,1,0,0.2875216,0.2875216,0.0,15.0377,15.0377,0.0,1,1,1,0.2875216,0.2875216,0.2875216,15.0377,15.0377,15.0377,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,0.2916666666666667,36,047,1400000US36047057800,36047057800,578,CT,172233.0,0.0,"POLYGON ((-73.95397799999999 40.601400999999996, -73.953037 40.601506, -73.95183399999999 40.601637, -73.949874 40.601853, -73.94944799999999 40.599598, -73.949047 40.597479, -73.95100599999999 40.597262, -73.952204 40.597131, -73.95315 40.597028, -73.953552 40.599146, -73.95397799999999 40.601400999999996))",0.276615113,1,0,0,1
1,36,47,037000,36047037000,New York,Kings County,1,4085,1566,0,0,0.0,0,0,0,0,0,0,15.6,82465.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,802,623,3017,17,804,0,23,224,242,396,178,36047037000,2017,4495.0,0.1304736,2,2,2,0.4449388,0.4449388,0.4449388,15.32878,15.32878,15.32878,3,3,3,0.6674082,0.6674082,0.6674082,22.99316,22.99316,22.99316,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047037000.0,0.129820287,4016.0,30935.07227,0.04681275,0.616533875,0.00249004,0.591135442,0.145076349,0.166946024,0.424740195,0.408313781,0.298548102,0.131578952,0.246823952,0.323049009,0.261330187,0.196215138,0.102091633,0.133466139,0.122509964,0.296812743,0.148904383,0.029850746,0.435714275,0.166248113,0.178423241,0.040834844,0.04627949,0.654910088,0.389025688,0.21440649,0.261008173,87813,95254, , , , ,36.0,47.0,36047037000,2017,4495.0,0.1304736,6,6,6,1.334816,1.334816,1.334816,45.98632,45.98632,45.98632,5,5,5,1.112347,1.112347,1.112347,38.32194,38.32194,38.32194,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047037000,2017,4495.0,0.1304736,1,1,1,0.2224694,0.2224694,0.2224694,7.664388,7.664388,7.664388,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.2224694,0.2224694,0.2224694,7.664388,7.664388,7.664388,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,0.2857142857142857,36,047,1400000US36047037000,36047037000,370,CT,336242.0,0.0,"POLYGON ((-73.96615 40.586669, -73.96564099999999 40.588888, -73.965302 40.590357999999995, -73.96512899999999 40.591108, -73.96068 40.591598, -73.960517 40.589453, -73.96034999999999 40.587306999999996, -73.960261 40.585038999999995, -73.962552 40.584783, -73.963442 40.584675999999995, -73.96661399999999 40.584575, -73.96615 40.586669))",0.178423241,0,0,0,0
2,36,47,019900,36047019900,New York,Kings County,1,2929,1476,0,58,1.98,0,0,0,0,0,0,12.4,124583.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,370,294,1227,1348,117,0,5,232,327,1036,183,36047019900,2017,3829.0,0.0729401,6,6,6,1.566989,1.566989,1.566989,82.25928,82.25928,82.25928,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047019900.0,0.072940104,3769.0,51672.53516,0.133457154,0.552401185,0.266383648,0.163438573,0.039469808,0.047463175,0.18003273,0.772504091,0.105898127,0.144772112,0.172922254,0.576407492,0.543800116,0.146988586,0.18678695,0.345980376,0.117007166,0.164765194,0.038471743,0.054228291,0.700882137,0.081980303,0.049124788,0.075067021,0.09517426,0.231507629,0.683264554,0.079001069,0.112121843,161250,177000,81550,210000,2.170447588,0.842857122,36.0,47.0,36047019900,2017,3829.0,0.0729401,11,11,11,2.872813,2.872813,2.872813,150.8087,150.8087,150.8087,7,7,7,1.828154,1.828154,1.828154,95.96915,95.96915,95.96915,3,3,3,0.7834944,0.7834944,0.7834944,41.12964,41.12964,41.12964,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,2,0.7834944,0.7834944,0.5223296,41.12964,41.12964,27.41976,36,47,36047019900,2017,3829.0,0.0729401,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,0.375,36,047,1400000US36047019900,36047019900,199,CT,188914.0,0.0,"POLYGON ((-73.96949 40.686288, -73.96749299999999 40.686518, -73.965525 40.686744, -73.965082 40.684546, -73.964779 40.68304, -73.964454 40.681125, -73.967477 40.681754, -73.96866399999999 40.682, -73.969062 40.684157, -73.96949 40.686288))",0.049124788,0,0,0,0
3,36,47,040000,36047040000,New York,Kings County,1,3069,1104,0,0,0.0,0,0,0,0,0,1,13.4,53977.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,585,457,1732,32,942,0,8,355,610,458,283,36047040000,2017,3344.0,0.0741316,3,3,3,0.8971292,0.8971292,0.8971292,40.46856,40.46856,40.46856,3,3,3,0.8971292,0.8971292,0.8971292,40.46856,40.46856,40.46856,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047040000.0,0.074131615,2906.0,39200.54688,0.136613905,0.426015139,0.005849965,0.503097057,0.262781948,0.237144276,0.538691938,0.224163756,0.249673218,0.328104585,0.220915034,0.201307192,0.236938596,0.262216091,0.098417066,0.139710948,0.1827254,0.198898837,0.118031658,0.019607844,0.252592593,0.126260877,0.223123729,0.069281049,0.126797393,0.422920883,0.226021186,0.199685946,0.30083096,52750,51438, ,42188, ,1.219256639,36.0,47.0,36047040000,2017,3344.0,0.0741316,11,11,10,3.289474,3.289474,2.990431,148.3847,148.3847,134.8952,9,9,8,2.691388,2.691388,2.392344,121.4057,121.4057,107.9162,2,2,2,0.5980861,0.5980861,0.5980861,26.97904,26.97904,26.97904,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047040000,2017,3344.0,0.0741316,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,0.2142857142857142,36,047,1400000US36047040000,36047040000,400,CT,192000.0,0.0,"POLYGON ((-73.980784 40.598447, -73.979858 40.598548, -73.97935199999999 40.598605, -73.978929 40.598653, -73.977933 40.598762, -73.976935 40.59887, -73.97601 40.598979, -73.973755 40.599221, -73.972911 40.599315, -73.97191099999999 40.599423, -73.97148399999999 40.597172, -73.974083 40.596883, -73.975588 40.596719, -73.977507 40.596506, -73.978927 40.596348, -73.980358 40.596191999999995, -73.980784 40.598447))",0.223123729,0,0,0,0
4,36,47,098200,36047098200,New York,Kings County,1,4305,1589,0,0,0.0,0,0,0,0,0,1,46.8,22055.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,1331,427,351,3363,12,3,56,520,1034,1376,756,36047098200,2017,4535.0,0.1334558,2,2,2,0.4410143,0.4410143,0.4410143,14.98623,14.98623,14.98623,1,1,0,0.2205072,0.2205072,0.0,7.493116,7.493116,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047098200.0,0.133454666,4532.0,33959.09766,0.214474842,0,0.784201264,0.14099735,0.057800636,0.313112289,0.631876409,0.055011302,0.680468738,0.108593747,0.204687506,0.00625,0.600182414,0.328993827,0.155560464,0.136804938,0.131729916,0.161959395,0.084951453,0.106918238,0.16971831,0.409090906,0.475323141,0.357812494,0.376562506,0,0.076993205,0.521627605,0.137757614,24956, ,27031,20357, , ,36.0,47.0,36047098200,2017,4535.0,0.1334558,3,3,3,0.6615215,0.6615215,0.6615215,22.47935,22.47935,22.47935,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0.6615215,0.6615215,0.6615215,22.47935,22.47935,22.47935,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047098200,2017,4535.0,0.1334558,1,1,0,0.2205072,0.2205072,0.0,7.493116,7.493116,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,0.4,36,047,1400000US36047098200,36047098200,982,CT,345646.0,0.0,"POLYGON ((-73.897943 40.650515, -73.895861 40.651880999999996, -73.89761 40.653453999999996, -73.893547 40.655201999999996, -73.89136599999999 40.652364999999996, -73.889994 40.651137999999996, -73.891252 40.650026, -73.892551 40.648911, -73.894679 40.647529999999996, -73.89616199999999 40.646571, -73.897832 40.64807, -73.896345 40.649027, -73.897943 40.650515))",0.475323141,1,0,0,1
5,36,47,082000,36047082000,New York,Kings County,1,5281,1906,0,14,0.27,0,0,0,0,0,1,26.8,44286.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2842,1339,465,152,4646,96,2,20,365,552,1474,700,36047082000,2017,4986.0,0.0573748,9,9,9,1.805054,1.805054,1.805054,156.8633,156.8633,156.8633,4,4,3,0.8022463,0.8022463,0.6016847,69.71704,69.71704,52.28778,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047082000.0,0.057374779,5247.0,91451.33594,0.094149038,0.062130742,0.782923579,0.522584319,0.048858631,0.199674889,0.586290956,0.21403414,0.322183102,0.385563374,0.117957741,0.174295783,0.538369894,0.234419674,0.210977703,0.189632177,0.093577281,0.229845628,0.041547552,0.028794881,0.295021951,0.206337094,0.315959424,0.196302816,0.205985919,0.014298893,0.227783963,0.281493217,0.221864,44265, ,43039, , , ,36.0,47.0,36047082000,2017,4986.0,0.0573748,14,14,14,2.807862,2.807862,2.807862,244.0097,244.0097,244.0097,5,5,5,1.002808,1.002808,1.002808,87.1463,87.1463,87.1463,7,7,7,1.403931,1.403931,1.403931,122.0048,122.0048,122.0048,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047082000,2017,4986.0,0.0573748,1,1,1,0.2005616,0.2005616,0.2005616,17.42926,17.42926,17.42926,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,0.4285714285714285,36,047,1400000US36047082000,36047082000,820,CT,148600.0,0.0,"POLYGON ((-73.953048 40.656081, -73.95016 40.656259999999996, -73.95006599999999 40.655423, -73.94993 40.65415, -73.949769 40.652642, -73.949669 40.651697999999996, -73.94957099999999 40.650807, -73.952469 40.65067, -73.952563 40.651545999999996, -73.952664 40.65249, -73.95282399999999 40.653977999999995, -73.95295899999999 40.655249999999995, -73.953048 40.656081))",0.315959424,1,0,0,1
6,36,47,079801,36047079801,New York,Kings County,1,3037,1308,0,0,0.0,0,0,0,0,0,0,8.8,90000.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,492,371,561,2201,77,0,9,189,251,821,114,36047079801,2017,3023.0,0.0500697,5,5,5,1.653986,1.653986,1.653986,99.86074,99.86074,99.86074,2,2,2,0.6615945,0.6615945,0.6615945,39.9443,39.9443,39.9443,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047079801.0,0.050069727,3121.0,62333.07422,0.062479973,0.38385132,0.438000649,0.324895859,0.00605042,0.07752613,0.360627174,0.561846673,0.19582665,0.105939001,0.390048146,0.308186173,0.508393288,0.202819616,0.153156042,0.242230058,0.104133293,0.223325863,0.07433515,0.080120184,0.694066405,0.050945211,0.09786354,0.069020867,0.123595506,0.253618181,0.521366417,0.114878468,0.13114208,103608,152143,95721, ,1.589442253, ,36.0,47.0,36047079801,2017,3023.0,0.0500697,17,17,16,5.623553,5.623553,5.292756,339.5265,339.5265,319.5544,12,12,11,3.969566,3.969566,3.638769,239.6658,239.6658,219.6936,3,3,3,0.9923916,0.9923916,0.9923916,59.91644,59.91644,59.91644,1,1,1,0.3307972,0.3307972,0.3307972,19.97215,19.97215,19.97215,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047079801,2017,3023.0,0.0500697,2,2,1,0.6615945,0.6615945,0.3307972,39.9443,39.9443,19.97215,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,0.25,36,047,1400000US36047079801,36047079801,798.01,CT,129680.0,0.0,"POLYGON ((-73.96077 40.661733999999996, -73.957044 40.661964999999995, -73.956958 40.66118, -73.956875 40.660441999999996, -73.956801 40.659729999999996, -73.95672499999999 40.659017, -73.956649 40.658305999999996, -73.960426 40.658072, -73.960484 40.658409999999996, -73.960622 40.660205, -73.960662 40.660947, -73.96077 40.661733999999996))",0.09786354,0,0,0,0
7,36,47,019800,36047019800,New York,Kings County,1,1702,658,0,0,0.0,0,0,0,0,0,0,13.9,80625.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,327,271,1251,8,275,0,0,168,260,172,167,36047019800,2017,1860.0,0.0520138,6,6,6,3.225806,3.225806,3.225806,115.3541,115.3541,115.3541,8,8,8,4.301075,4.301075,4.301075,153.8055,153.8055,153.8055,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047019800.0,0.052013751,1877.0,36086.60938,0.125732556,0.451251984,0,0.376132131,0.148105621,0.203402936,0.488785774,0.30781129,0.191304341,0.365217388,0.180434778,0.263043463,0.309508204,0.209376663,0.188598827,0.11188066,0.091102824,0.269046336,0.129994676,0.017206477,0.385169923,0.146079481,0.191693291,0.097826086,0.097826086,0.56070286,0.318674892,0.176359043,0.216656774,65833,99643, , , , ,36.0,47.0,36047019800,2017,1860.0,0.0520138,15,15,15,8.064516,8.064516,8.064516,288.3853,288.3853,288.3853,7,7,7,3.763441,3.763441,3.763441,134.5798,134.5798,134.5798,3,3,3,1.612903,1.612903,1.612903,57.67706,57.67706,57.67706,2,2,2,1.075269,1.075269,1.075269,38.45137,38.45137,38.45137,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047019800,2017,1860.0,0.0520138,1,1,1,0.5376344,0.5376344,0.5376344,19.22569,19.22569,19.22569,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,1.075269,1.075269,1.075269,38.45137,38.45137,38.45137,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,0.375,36,047,1400000US36047019800,36047019800,198,CT,134715.0,0.0,"POLYGON ((-74.00921699999999 40.618581999999996, -74.007426 40.620303, -74.005637 40.622023999999996, -74.003436 40.620695999999995, -74.004019 40.620135999999995, -74.00522699999999 40.618973, -74.006434 40.617813999999996, -74.007599 40.616695, -74.0098 40.618024, -74.00921699999999 40.618581999999996))",0.191693291,0,0,0,0
8,36,47,036900,36047036900,New York,Kings County,1,4923,1738,0,30,0.61,0,0,0,0,0,1,31.2,41694.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3207,1464,349,437,3683,44,2,76,681,1281,1553,727,36047036900,2017,5619.0,0.0875433,11,11,11,1.957644,1.957644,1.957644,125.6522,125.6522,125.6522,5,5,5,0.889838,0.889838,0.889838,57.11462,57.11462,57.11462,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047036900.0,0.087543257,6056.0,69177.22656,0.284841478,0.089332893,0.600396276,0.30515191,0.031593647,0.196984932,0.579648256,0.223366827,0.475092947,0.310037166,0.151672855,0.063197024,0.626936853,0.203104362,0.300528407,0.138375163,0.111955084,0.185601056,0.060435932,0.07504303,0.271678448,0.328469574,0.332660466,0.166542754,0.197026029,0.124343961,0.186080769,0.378740996,0.207195684,43081,181250,42764,40368,4.238378048,4.489942551,36.0,47.0,36047036900,2017,5619.0,0.0875433,19,19,17,3.381385,3.381385,3.025449,217.0356,217.0356,194.1897,10,10,8,1.779676,1.779676,1.423741,114.2292,114.2292,91.38339,8,8,8,1.423741,1.423741,1.423741,91.38339,91.38339,91.38339,1,1,1,0.1779676,0.1779676,0.1779676,11.42292,11.42292,11.42292,1,1,1,0.1779676,0.1779676,0.1779676,11.42292,11.42292,11.42292,36,47,36047036900,2017,5619.0,0.0875433,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,0.3793103448275862,36,047,1400000US36047036900,36047036900,369,CT,226736.0,0.0,"POLYGON ((-73.911664 40.682446, -73.911512 40.683505, -73.909275 40.682235, -73.90885999999999 40.681993999999996, -73.908517 40.681804, -73.907018 40.680948, -73.90549299999999 40.680037, -73.907833 40.678115999999996, -73.90808799999999 40.67619, -73.910926 40.676345, -73.910799 40.678278, -73.911082 40.679514999999995, -73.911225 40.68024, -73.911374 40.68098, -73.911518 40.681712, -73.911664 40.682446))",0.332660466,1,0,0,1
9,36,47,052900,36047052900,New York,Kings County,1,3979,1001,0,82,2.06,0,0,0,0,0,1,42.9,32250.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501,1775,228,3757,27,15,0,4,176,315,620,418,36047052900,2017,3995.0,0.0675262,8,8,8,2.002503,2.002503,2.002503,118.4726,118.4726,118.4726,3,3,1,0.7509387,0.7509387,0.2503129,44.42722,44.42722,14.80907,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047052900.0,0.067531973,3473.0,51427.49219,0.093579039,0.901238143,0.005182839,0.114598326,0.148763135,0.336394936,0.535017192,0.128587827,0.599241436,0.206068262,0.089759797,0.104930468,0.300434768,0.38324216,0.237834722,0.09530665,0.081197813,0.13734524,0.065073423,0.062898092,0.333050132,0.45619598,0.45847553,0,0,0.128555179,0.18885614,0.504637659,0.118980169,27070,25768, ,63968, ,0.402826399,36.0,47.0,36047052900,2017,3995.0,0.0675262,5,5,4,1.251565,1.251565,1.001251,74.04536,74.04536,59.23629,5,5,4,1.251565,1.251565,1.001251,74.04536,74.04536,59.23629,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,36047052900,2017,3995.0,0.0675262,1,1,1,0.2503129,0.2503129,0.2503129,14.80907,14.80907,14.80907,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,47,0.6153846153846154,36,047,1400000US36047052900,36047052900,529,CT,174907.0,0.0,"POLYGON ((-73.958152 40.708041, -73.957904 40.708427, -73.957362 40.708234999999995, -73.95627 40.70785, -73.954017 40.70708, -73.953378 40.706857, -73.95191 40.70636, -73.951086 40.705912999999995, -73.950237 40.705473, -73.95190000000001 40.704418, -73.953812 40.703181, -73.955074 40.704312, -73.95633699999999 40.705439, -73.958456 40.707252, -73.958152 40.708041))",0.45847553,1,0,0,1
